wavelength,D50,D55,D65,D75
300,0.000192266,0.000243042,0.00034107,0.000429059
301,0.001522405,0.001610747,0.002538054,0.003844294
302,0.003542864,0.003755309,0.006028964,0.00923675
303,0.00596974,0.006309509,0.010172216,0.015647493
304,0.008329856,0.008661311,0.013898506,0.021478298
305,0.01035266,0.010483973,0.01664964,0.02588622
306,0.012100273,0.011867132,0.018587294,0.02910944
307,0.013497223,0.012680672,0.0194664,0.03079379
308,0.014960932,0.01369661,0.02076247,0.033058076
309,0.017164852,0.016134175,0.024795701,0.039240333
310,0.020513053,0.020724904,0.03295821,0.051343381
311,0.024923734,0.027324464,0.044977849,0.068975901
312,0.030459709,0.036034534,0.061045517,0.092417761
313,0.036735895,0.046166232,0.079850345,0.119777591
314,0.043110486,0.056571418,0.099207555,0.14790311
315,0.049178719,0.066506512,0.117695802,0.174749811
316,0.055009738,0.076087413,0.135533069,0.200634712
317,0.060554079,0.08525292,0.152611849,0.225393932
318,0.066000015,0.094144938,0.169138248,0.249387463
319,0.071694133,0.103091137,0.185639902,0.273470523
320,0.077844385,0.112288121,0.202433393,0.298156241
321,0.08434151,0.121568304,0.219190296,0.322941613
322,0.091115374,0.130780119,0.235576284,0.347312275
323,0.09813742,0.140046114,0.251937526,0.371772465
324,0.105360053,0.149570544,0.268850976,0.397162581
325,0.112714599,0.159424273,0.286552361,0.423800877
326,0.120190722,0.169562114,0.304928273,0.451512111
327,0.127838875,0.180080942,0.324202562,0.480657511
328,0.135286441,0.190341335,0.342924645,0.508872984
329,0.141979254,0.19936374,0.358860948,0.532528354
330,0.147584814,0.206560425,0.37067133,0.549445513
331,0.152142543,0.212031659,0.378597179,0.560007329
332,0.155579928,0.215687368,0.382449719,0.563895854
333,0.15826256,0.218105089,0.38351648,0.563224275
334,0.160799756,0.220247384,0.383943346,0.561514571
335,0.163586193,0.222746876,0.385145825,0.561087554
336,0.16656039,0.225510092,0.386917603,0.561603638
337,0.169754741,0.22857542,0.389337016,0.563194783
338,0.173094528,0.231916173,0.392396325,0.565824054
339,0.17640674,0.235396066,0.395869332,0.569083845
340,0.179587573,0.238933328,0.39962032,0.572729595
341,0.182698564,0.242606821,0.403813151,0.577033747
342,0.185765604,0.246459107,0.408540547,0.582145299
343,0.18880507,0.250450533,0.413681641,0.587887373
344,0.191844257,0.25451501,0.419034991,0.593965167
345,0.1948996,0.258598275,0.424437277,0.60013466
346,0.197967844,0.262702414,0.429895694,0.606404368
